latitude,longitude,empty_slots,free_bikes,timestamp,last_updated,extra_normal_bikes,extra_ebikes,extra_slots,extra_has_ebikes,total_bike_slots
49.2731,-123.0732,7,7,2024-05-22T04:41:23.504000Z,1716352715,7,0,14,True,14
49.254667,-123.101389,11,5,2024-05-22T04:41:23.538000Z,1716352714,3,2,16,True,16
49.256694,-123.096579,6,8,2024-05-22T04:41:23.541000Z,1716352681,7,1,14,True,14
49.258352,-123.096337,4,10,2024-05-22T04:41:23.540000Z,1716352330,8,2,14,True,14
49.258817,-123.092797,10,6,2024-05-22T04:41:23.465000Z,1716352312,6,0,16,True,16
49.26151,-123.089413,9,5,2024-05-22T04:41:23.321000Z,1716352379,5,0,14,True,14
49.263382,-123.088837,5,11,2024-05-22T04:41:23.325000Z,1716351780,11,0,16,True,16
49.261353,-123.085333,3,8,2024-05-22T04:41:23.380000Z,1716352311,8,0,12,True,11
49.264466,-123.085183,7,13,2024-05-22T04:41:23.382000Z,1716352733,13,0,20,True,20
49.280197,-123.065859,6,10,2024-05-22T04:41:23.452000Z,1716352321,7,3,16,True,16
49.266725,-123.065925,11,5,2024-05-22T04:41:23.451000Z,1716352741,5,0,16,True,16
49.261188,-123.066009,8,3,2024-05-22T04:41:23.450000Z,1716352837,2,1,12,True,11
49.256857,-123.065646,16,2,2024-05-22T04:41:23.242000Z,1716352680,2,0,18,True,18
49.283986,-123.065264,6,12,2024-05-22T04:41:23.340000Z,1716352466,11,1,18,True,18
49.257985,-123.083366,6,8,2024-05-22T04:41:23.343000Z,1716352416,6,2,14,True,14
49.257939,-123.089531,11,4,2024-05-22T04:41:23.332000Z,1716351446,4,0,16,True,15
49.256496,-123.075426,8,6,2024-05-22T04:41:23.335000Z,1716352444,6,0,14,True,14
49.283236,-123.070443,9,7,2024-05-22T04:41:23.330000Z,1716352499,6,1,16,True,16
49.267266,-123.090786,13,3,2024-05-22T04:41:23.327000Z,1716352569,3,0,16,True,16
49.265242,-123.095577,6,9,2024-05-22T04:41:23.428000Z,1716352823,7,2,16,True,15
49.265213,-123.090785,9,7,2024-05-22T04:41:23.417000Z,1716352611,7,0,16,True,16
49.302577,-123.155616,30,7,2024-05-22T04:41:23.401000Z,1716352609,7,0,38,True,37
49.277595,-123.09583,4,11,2024-05-22T04:41:23.561000Z,1716352834,7,4,16,True,15
49.279235,-123.087528,7,9,2024-05-22T04:41:23.579000Z,1716352780,8,1,16,True,16
49.277333,-123.087359,4,12,2024-05-22T04:41:23.607000Z,1716352824,12,0,16,True,16
49.273103,-123.069892,9,13,2024-05-22T04:41:23.175000Z,1716352798,12,1,22,True,22
49.261973,-123.09725,9,11,2024-05-22T04:41:23.467000Z,1716352396,9,2,20,True,20
49.275295,-123.132585,11,11,2024-05-22T04:41:23.236000Z,1716352691,10,1,22,True,22
49.285871,-123.12105,19,9,2024-05-22T04:41:23.497000Z,1716352733,8,1,28,True,28
49.284893,-123.128685,9,18,2024-05-22T04:41:23.206000Z,1716352388,17,1,30,True,27
49.263962,-123.112621,12,12,2024-05-22T04:41:23.452000Z,1716352683,9,3,24,True,24
49.277615,-123.091654,4,8,2024-05-22T04:41:23.437000Z,1716352730,8,0,12,True,12
49.282214,-123.114101,11,11,2024-05-22T04:41:23.536000Z,1716352823,11,0,22,True,22
49.266456,-123.100324,6,15,2024-05-22T04:41:23.432000Z,1716352571,12,3,20,True,21
49.268216,-123.103168,15,5,2024-05-22T04:41:23.406000Z,1716352543,4,1,20,True,20
49.284554,-123.111031,6,10,2024-05-22T04:41:23.218000Z,1716352803,9,1,16,True,16
49.280216,-123.117639,15,5,2024-05-22T04:41:23.238000Z,1716352395,5,0,20,True,20
49.266314,-123.116011,12,13,2024-05-22T04:41:23.486000Z,1716352385,12,1,26,True,25
49.280852,-123.084746,7,7,2024-05-22T04:41:23.414000Z,1716352449,5,2,14,True,14
49.285512,-123.1384,1,17,2024-05-22T04:41:23.229000Z,1716352560,12,5,18,True,18
49.27821,-123.136972,26,14,2024-05-22T04:41:23.578000Z,1716352453,12,2,40,True,40
49.281301,-123.139108,7,15,2024-05-22T04:41:23.563000Z,1716352600,14,1,22,True,22
49.283298,-123.142288,7,15,2024-05-22T04:41:23.188000Z,1716352569,15,0,22,True,22
49.280787,-123.115271,11,7,2024-05-22T04:41:23.204000Z,1716352728,7,0,18,True,18
49.266476,-123.109389,5,13,2024-05-22T04:41:23.502000Z,1716352403,12,1,18,True,18
49.290587,-123.13625,2,16,2024-05-22T04:41:23.228000Z,1716352596,13,3,20,True,18
49.262835,-123.152626,12,5,2024-05-22T04:41:23.520000Z,1716352574,3,2,18,True,17
49.256825,-123.105234,8,6,2024-05-22T04:41:23.166000Z,1716352413,2,4,14,True,14
49.275683,-123.124388,9,5,2024-05-22T04:41:23.577000Z,1716352319,1,4,14,True,14
49.263518,-123.09568,9,9,2024-05-22T04:41:23.386000Z,1716352574,9,0,18,True,18
49.28691,-123.128818,7,13,2024-05-22T04:41:23.620000Z,1716352773,8,5,20,True,20
49.282503,-123.124697,10,8,2024-05-22T04:41:23.437000Z,1716351770,4,4,18,True,18
49.283749,-123.136133,13,9,2024-05-22T04:41:23.566000Z,1716352362,1,8,22,True,22
49.262944,-123.148109,11,3,2024-05-22T04:41:23.481000Z,1716352321,3,0,14,True,14
49.27029,-123.135025,19,13,2024-05-22T04:41:23.469000Z,1716352565,12,1,32,True,32
49.280427,-123.074082,12,3,2024-05-22T04:41:23.602000Z,1716352411,3,0,16,True,15
49.279259,-123.119145,3,15,2024-05-22T04:41:23.281000Z,1716352565,12,3,18,True,18
49.285836,-123.127265,19,7,2024-05-22T04:41:23.173000Z,1716352830,6,1,26,True,26
49.272969,-123.164325,8,12,2024-05-22T04:41:23.476000Z,1716352750,12,0,20,True,20
49.27247,-123.185643,3,21,2024-05-22T04:41:23.618000Z,1716352680,20,1,24,True,24
49.271471,-123.17731,5,9,2024-05-22T04:41:23.369000Z,1716352796,8,1,14,True,14
49.290112,-123.127062,11,13,2024-05-22T04:41:23.167000Z,1716352641,12,1,24,True,24
49.263523,-123.155267,7,10,2024-05-22T04:41:23.617000Z,1716352732,7,3,18,True,17
49.264928,-123.168068,6,14,2024-05-22T04:41:23.404000Z,1716352606,14,0,22,True,20
49.264483,-123.173926,9,8,2024-05-22T04:41:23.361000Z,1716352418,7,1,18,True,17
49.264579,-123.18373,17,9,2024-05-22T04:41:23.619000Z,1716352633,5,4,26,True,26
49.263746,-123.069892,15,1,2024-05-22T04:41:23.539000Z,1716352389,1,0,16,True,16
49.258761,-123.127071,11,3,2024-05-22T04:41:23.353000Z,1716352384,3,0,14,True,14
49.268974,-123.190701,4,14,2024-05-22T04:41:23.549000Z,1716352842,13,1,18,True,18
49.273011,-123.159663,6,13,2024-05-22T04:41:23.516000Z,1716351702,13,0,20,True,19
49.266924,-123.173849,7,9,2024-05-22T04:41:23.272000Z,1716352540,7,2,16,True,16
49.264326,-123.164725,6,10,2024-05-22T04:41:23.164000Z,1716352729,10,0,16,True,16
49.266636,-123.183661,13,3,2024-05-22T04:41:23.619000Z,1716352385,3,0,16,True,16
49.254818,-123.114785,12,12,2024-05-22T04:41:23.251000Z,1716352576,8,4,24,True,24
49.268837,-123.177633,9,14,2024-05-22T04:41:23.254000Z,1716352381,13,1,23,True,23
49.255034,-123.120226,7,9,2024-05-22T04:41:23.429000Z,1716352326,9,0,16,True,16
49.271044,-123.170661,10,6,2024-05-22T04:41:23.449000Z,1716352330,6,0,16,True,16
49.252691,-123.101289,12,4,2024-05-22T04:41:23.270000Z,1716352320,2,2,16,True,16
49.272172,-123.097978,8,10,2024-05-22T04:41:23.425000Z,1716352314,10,0,18,True,18
49.271082,-123.191458,26,8,2024-05-22T04:41:23.546000Z,1716352420,8,0,34,True,34
49.27808,-123.130557,14,10,2024-05-22T04:41:23.563000Z,1716352755,9,1,24,True,24
49.269969,-123.109623,10,10,2024-05-22T04:41:23.457000Z,1716352325,6,4,24,True,20
49.287528,-123.142139,16,14,2024-05-22T04:41:23.585000Z,1716352507,9,5,30,True,30
49.28803,-123.142135,17,9,2024-05-22T04:41:23.174000Z,1716352804,4,5,26,True,26
49.259579,-123.114769,10,3,2024-05-22T04:41:23.622000Z,1716352523,2,1,14,True,13
49.2890705989865,-123.138407369468,6,12,2024-05-22T04:41:23.642000Z,1716352756,11,1,18,True,18
49.287782,-123.12395,8,6,2024-05-22T04:41:23.440000Z,1716352780,6,0,14,True,14
49.28512,-123.11242,16,3,2024-05-22T04:41:23.427000Z,1716352753,3,0,19,True,19
49.247854,-123.153422,11,5,2024-05-22T04:41:23.498000Z,1716352787,3,2,18,True,16
49.265939,-123.1129,9,9,2024-05-22T04:41:23.456000Z,1716352528,8,1,18,True,18
49.261122,-123.097571,6,6,2024-05-22T04:41:23.450000Z,1716352798,1,5,16,True,12
49.267725,-123.11311,8,7,2024-05-22T04:41:23.195000Z,1716352289,6,1,18,True,15
49.245135,-123.116098,13,7,2024-05-22T04:41:23.326000Z,1716352392,7,0,20,True,20
49.274232,-123.129998,5,8,2024-05-22T04:41:23.641000Z,1716352421,4,4,16,True,13
49.238105,-123.154966,16,4,2024-05-22T04:41:23.525000Z,1716352404,2,2,20,True,20
49.246243,-123.124373,16,4,2024-05-22T04:41:23.204000Z,1716352643,2,2,20,True,20
49.249722,-123.104991,9,4,2024-05-22T04:41:23.645000Z,1716352403,3,1,12,True,13
49.243375,-123.104978,18,4,2024-05-22T04:41:23.545000Z,1716352405,4,0,22,True,22
49.282087,-123.056909,11,9,2024-05-22T04:41:23.506000Z,1716352726,5,4,20,True,20
49.283968,-123.061615,5,11,2024-05-22T04:41:23.480000Z,1716352312,9,2,16,True,16
49.287464,-123.060771,13,5,2024-05-22T04:41:23.256000Z,1716352724,4,1,18,True,18
49.285575,-123.061575,12,6,2024-05-22T04:41:23.416000Z,1716352596,6,0,18,True,18
49.251358,-123.115637,9,5,2024-05-22T04:41:23.252000Z,1716352746,5,0,14,True,14
49.249184,-123.116141,14,4,2024-05-22T04:41:23.327000Z,1716352567,3,1,18,True,18
49.245535,-123.120496,19,3,2024-05-22T04:41:23.426000Z,1716352560,2,1,22,True,22
49.289255,-123.132677,12,13,2024-05-22T04:41:23.229000Z,1716352761,10,3,26,True,25
49.252656,-123.067965,11,8,2024-05-22T04:41:23.424000Z,1716352378,7,1,20,True,19
49.259469,-123.145718,3,14,2024-05-22T04:41:23.430000Z,1716352482,2,12,18,True,17
49.277178,-123.13,10,14,2024-05-22T04:41:23.447000Z,1716352817,11,3,24,True,24
49.291597,-123.129158,11,9,2024-05-22T04:41:23.356000Z,1716352716,5,4,20,True,20
49.247204,-123.101549,19,3,2024-05-22T04:41:23.566000Z,1716352319,2,1,22,True,22
49.2856698,-123.1125432,13,5,2024-05-22T04:41:23.580000Z,1716352320,2,3,18,True,18
49.25094,-123.101306,7,7,2024-05-22T04:41:23.575000Z,1716352485,6,1,14,True,14
49.270783,-123.141564,8,12,2024-05-22T04:41:23.268000Z,1716352382,11,1,20,True,20
49.264019,-123.209176,17,5,2024-05-22T04:41:23.182000Z,1716352564,5,0,22,True,22
49.2658,-123.20596,7,13,2024-05-22T04:41:23.258000Z,1716352475,9,4,20,True,20
49.265442,-123.187738,6,14,2024-05-22T04:41:23.556000Z,1716352788,14,0,20,True,20
49.267561,-123.252261,10,9,2024-05-22T04:41:23.557000Z,1716352733,3,6,20,True,19
49.2665793,-123.2485487,14,12,2024-05-22T04:41:23.269000Z,1716352566,5,7,28,True,26
49.26262,-123.2431,18,6,2024-05-22T04:41:23.469000Z,1716352480,3,3,24,True,24
49.278529,-123.100017,13,9,2024-05-22T04:41:23.436000Z,1716352535,7,2,20,True,22
49.282047,-123.133057,12,8,2024-05-22T04:41:23.466000Z,1716352402,6,2,20,True,20
49.277773,-123.114237,8,12,2024-05-22T04:41:23.581000Z,1716352558,10,2,20,True,20
49.263073,-123.254307,8,12,2024-05-22T04:41:23.481000Z,1716352644,0,12,20,True,20
49.259999,-123.250902,20,6,2024-05-22T04:41:23.425000Z,1716352712,1,5,26,True,26
49.25478,-123.23621,15,13,2024-05-22T04:41:23.274000Z,1716352799,4,9,28,True,28
49.27751,-123.061429,11,9,2024-05-22T04:41:23.248000Z,1716352726,7,2,20,True,20
